t,mu_GeV,g1,g2,g3,alpha1,alpha2,alpha3,alpha1_inv,alpha2_inv,alpha3_inv
1.701939210361e-01,1.081207672988e+02,4.613250691706e-01,6.510863106240e-01,1.206994867005e+00,1.693574270379e-02,3.373395524382e-02,1.159313737979e-01,5.904671660937e+01,2.964372226062e+01,8.625792718921e+00
1.725910185154e-01,1.083802542010e+02,4.613312746482e-01,6.510734636444e-01,1.206801113884e+00,1.693619832645e-02,3.373262400661e-02,1.158941569659e-01,5.904512811697e+01,2.964489213184e+01,8.628562700484e+00
1.749881159948e-01,1.086403638647e+02,4.613374803371e-01,6.510606172740e-01,1.206607456082e+00,1.693665397077e-02,3.373129285880e-02,1.158569644133e-01,5.904353963458e+01,2.964606201683e+01,8.631332652846e+00
1.773852134742e-01,1.089010977846e+02,4.613436862375e-01,6.510477715128e-01,1.206413893518e+00,1.693710963673e-02,3.372996180038e-02,1.158197961160e-01,5.904195116217e+01,2.964723191560e+01,8.634102576027e+00
1.797823109536e-01,1.091624574587e+02,4.613498923493e-01,6.510349263608e-01,1.206220426114e+00,1.693756532435e-02,3.372863083135e-02,1.157826520501e-01,5.904036269973e+01,2.964840182812e+01,8.636872470045e+00
1.821794084330e-01,1.094244443890e+02,4.613560986726e-01,6.510220818181e-01,1.206027053791e+00,1.693802103363e-02,3.372729995171e-02,1.157455321916e-01,5.903877424728e+01,2.964957175439e+01,8.639642334919e+00
1.845765059124e-01,1.096870600808e+02,4.613623052074e-01,6.510092378848e-01,1.205833776470e+00,1.693847676457e-02,3.372596916146e-02,1.157084365166e-01,5.903718580479e+01,2.965074169441e+01,8.642412170669e+00
1.869736033917e-01,1.099503060431e+02,4.613685119538e-01,6.509963945609e-01,1.205640594072e+00,1.693893251718e-02,3.372463846061e-02,1.156713650012e-01,5.903559737226e+01,2.965191164815e+01,8.645181977314e+00
1.893707008711e-01,1.102141837885e+02,4.613747189118e-01,6.509835518465e-01,1.205447506519e+00,1.693938829145e-02,3.372330784916e-02,1.156343176217e-01,5.903400894969e+01,2.965308161563e+01,8.647951754872e+00
1.917677983505e-01,1.104786948334e+02,4.613809260814e-01,6.509707097415e-01,1.205254513732e+00,1.693984408740e-02,3.372197732710e-02,1.155972943541e-01,5.903242053707e+01,2.965425159682e+01,8.650721503364e+00
1.941648958299e-01,1.107438406976e+02,4.613871334628e-01,6.509578682461e-01,1.205061615633e+00,1.694029990503e-02,3.372064689445e-02,1.155602951748e-01,5.903083213439e+01,2.965542159171e+01,8.653491222807e+00
1.965619933093e-01,1.110096229047e+02,4.613933410558e-01,6.509450273603e-01,1.204868812143e+00,1.694075574434e-02,3.371931655119e-02,1.155233200599e-01,5.902924374164e+01,2.965659160030e+01,8.656260913220e+00
1.989590907886e-01,1.112760429818e+02,4.613995488606e-01,6.509321870842e-01,1.204676103184e+00,1.694121160532e-02,3.371798629733e-02,1.154863689858e-01,5.902765535883e+01,2.965776162259e+01,8.659030574624e+00
2.013561882680e-01,1.115431024599e+02,4.614057568772e-01,6.509193474177e-01,1.204483488677e+00,1.694166748800e-02,3.371665613288e-02,1.154494419287e-01,5.902606698593e+01,2.965893165855e+01,8.661800207036e+00
2.037532857474e-01,1.118108028734e+02,4.614119651056e-01,6.509065083610e-01,1.204290968546e+00,1.694212339236e-02,3.371532605783e-02,1.154125388650e-01,5.902447862296e+01,2.966010170819e+01,8.664569810476e+00
2.061503832268e-01,1.120791457607e+02,4.614181735459e-01,6.508936699141e-01,1.204098542711e+00,1.694257931842e-02,3.371399607219e-02,1.153756597711e-01,5.902289026989e+01,2.966127177148e+01,8.667339384962e+00
2.085474807062e-01,1.123481326636e+02,4.614243821981e-01,6.508808320770e-01,1.203906211096e+00,1.694303526617e-02,3.371266617595e-02,1.153388046234e-01,5.902130192673e+01,2.966244184844e+01,8.670108930513e+00
2.109445781855e-01,1.126177651278e+02,4.614305910622e-01,6.508679948498e-01,1.203713973621e+00,1.694349123563e-02,3.371133636912e-02,1.153019733983e-01,5.901971359346e+01,2.966361193904e+01,8.672878447149e+00
2.133416756649e-01,1.128880447025e+02,4.614368001383e-01,6.508551582325e-01,1.203521830209e+00,1.694394722678e-02,3.371000665170e-02,1.152651660723e-01,5.901812527008e+01,2.966478204327e+01,8.675647934889e+00
2.157387731443e-01,1.131589729409e+02,4.614430094265e-01,6.508423222252e-01,1.203329780784e+00,1.694440323965e-02,3.370867702369e-02,1.152283826220e-01,5.901653695659e+01,2.966595216113e+01,8.678417393750e+00
2.181358706237e-01,1.134305513997e+02,4.614492189266e-01,6.508294868279e-01,1.203137825266e+00,1.694485927422e-02,3.370734748509e-02,1.151916230237e-01,5.901494865298e+01,2.966712229262e+01,8.681186823752e+00
2.205329681031e-01,1.137027816394e+02,4.614554286389e-01,6.508166520407e-01,1.202945963579e+00,1.694531533051e-02,3.370601803591e-02,1.151548872542e-01,5.901336035924e+01,2.966829243771e+01,8.683956224913e+00
