mu_GeV,log10_mu,g1_SM,g1_GUT,g2,g3,alpha1_GUT,alpha2,alpha3,alpha1_inv_GUT,alpha2_inv,alpha3_inv
100.0,2.0,0.357,0.4608850181986826,0.652,1.221,0.016903448618432473,0.03382870146406854,0.1186373572570322,59.15952552484134,29.56069718082909,8.429048177746097
125.89254117941675,2.1,0.35746332649801293,0.4614831701355695,0.6513298842752419,1.202230057474302,0.016947352808059396,0.03375919994475141,0.11501786438186869,59.00626554044742,29.6215550616291,8.694301579795626
158.48931924611142,2.2,0.35792820297305594,0.4620833230841979,0.6506604844922351,1.1843127214634082,0.016991461100833036,0.033689844034673934,0.11161509279515947,58.85309062391187,29.682535750856836,8.9593618117152
199.52623149688807,2.3000000000000003,0.35839465916381724,0.46268551543704917,0.6499918764911633,1.1671911384108284,0.01703577689731896,0.03362064135063302,0.10841118692043594,58.69999390267766,29.743632477765676,9.224140316201039
251.18864315095823,2.4000000000000004,0.35886271788953567,0.463289776653634,0.6493241298757232,1.1508072289185594,0.017080302956091004,0.03355159883292729,0.10538900361715534,58.54697089218726,29.80483895803521,9.488655985710627
316.22776601683825,2.5000000000000004,0.3593324010996927,0.46389613507061117,0.6486573077373391,1.1351084658895285,0.017125041966178308,0.033482722720295136,0.10253328259010488,58.39401748474453,29.866149427384006,9.752930704439441
398.1071705534977,2.6000000000000005,0.359803729854295,0.4645046178763323,0.6479914672810935,1.120047346756771,0.01716999654473747,0.03341401861801742,0.09983042021245182,58.241129949819104,29.92755859245205,10.016986784908577
501.18723362727303,2.7000000000000006,0.3602767244378802,0.46511525125802294,0.6473266599813998,1.1055812040624247,0.01721516924748489,0.03334549151716576,0.09726832323243977,58.08830489111215,29.989061624274303,10.280839298630903
630.9573444801943,2.8000000000000007,0.3607514045174708,0.4657280606056998,0.6466629323736469,1.091671477358861,0.017260562583416014,0.03327714587919694,0.09483618230367238,57.93553919040867,30.05065409245766,10.544498689307494
794.328234724283,2.900000000000001,0.3612277892568145,0.46634307065965497,0.6460003267610995,1.0782830664115806,0.01730617902545175,0.033208985711323344,0.09252427824955195,57.7828299666452,30.11233190597049,10.80797406819915
1000.000000000002,3.000000000000001,0.3617058973838108,0.46696030559750273,0.6453388816824772,1.0653839007875547,0.01735202101667704,0.03314101461684671,0.09032384058133147,57.63017455078571,30.174091275155646,11.071274134978317
1258.92541179417,3.100000000000001,0.36218574723652514,0.4675797890935836,0.6446786322239344,1.0529446485501714,0.017398090974571283,0.03307323582922332,0.08822694053313837,57.47757046802324,30.235928687582657,11.33440640644675
1584.8931924611175,3.200000000000001,0.36266735678503065,0.4682015443471624,0.6440196100936514,1.0409386187720981,0.017444391292946657,0.03300565222159252,0.08622642458221177,57.32501542798647,30.297840905740177,11.597372903321062
1995.262314968885,3.300000000000001,0.3631507437973885,0.46882559429670734,0.6433618450726388,1.0293406051987855,0.01749092435778598,0.03293826645716655,0.08431567984317592,57.17250726974049,30.359824834753102,11.860190202581101
2511.8864315095875,3.4000000000000012,0.36363592572599324,0.469451961473163,0.6427053638845938,1.0181277446953798,0.017537692536234238,0.03287108087469795,0.08248874208230261,57.020043995749276,30.421877631950213,12.122866402814779
3162.277660168389,3.5000000000000013,0.36412291978975253,0.47008066810604354,0.6420501908247639,1.0072789993940934,0.017584698184416315,0.03280409755439458,0.08074017659967818,56.86762374381877,30.48399665138892,12.385407638605361
3981.0717055349855,3.6000000000000014,0.364611743019728,0.47071173618235496,0.6413963481193333,0.9967748748572934,0.01763194365178334,0.032737318355925,0.0790650046570698,56.715244771035636,30.546179412982184,12.647820667782412
5011.8723362727405,3.7000000000000015,0.36510241225013074,0.4713451874349704,0.6407438557872943,0.9865975133201109,0.01767943128020157,0.03267074490545776,0.07745869377568601,56.56290545498807,30.60842361855504,12.910106680806129
6309.573444801956,3.8000000000000016,0.3655949441936314,0.4719810434398548,0.64009273221618,0.9767302276323905,0.017727163411210133,0.03260437865550475,0.07591706204182098,56.41060426890574,30.670727099753066,13.172269488631194
7943.282347242846,3.9000000000000017,0.3660893554549834,0.47261932563365266,0.6394429942407991,0.9671574507931946,0.01777514238734709,0.0325382208938209,0.0744362523858677,56.25833977632898,30.73308781273603,13.434314167458783
10000.00000000004,4.000000000000002,0.3665856625330711,0.4732600553163322,0.6387946571437793,0.9578647284140769,0.017823370552360517,0.03247227274430085,0.07301271513442163,56.10611062942641,30.79550384028812,13.696244526161347
12589.254117941713,4.100000000000001,0.3670838818552126,0.4739032536954698,0.6381477348894355,0.9488385313040113,0.017871850254561793,0.03240653519156807,0.07164316461098295,55.953915557498014,30.857973371377028,13.958065719596915
15848.931924611174,4.200000000000001,0.3675840297790313,0.4745489418886665,0.6375022401220805,0.9400662491637372,0.017920583847043967,0.0323410090815148,0.07032456545623245,55.80175336558311,30.920494703165325,14.219782141737728
19952.62314968883,4.300000000000001,0.36808612261619394,0.47519714095419346,0.6368581843126099,0.9315360865160147,0.017969573690036756,0.03227569513686807,0.06905410536674864,55.64962292647214,30.983066228609715,14.481398241117844
25118.864315095823,4.4,0.3685901766350049,0.47584787189434136,0.6362155777771812,0.9232370461510995,0.018018822151213504,0.032210593959709814,0.06782918231074901,55.49752317926361,31.045686436295973,14.742916926503007
31622.776601683792,4.5,0.3690962080900719,0.47650115569371854,0.6355744298588993,0.9151587919788834,0.018068331608651036,0.03214570605047087,0.06664737498504524,55.34545311982234,31.108353894294137,15.00434188479871
