mu_GeV,log10_mu,alphaY,alpha1_GUT,alpha2,alpha3,yt,yb,ytau,lambdaH
91.18760000000002,1.9599357855026331,0.010165778958825778,0.016942964931376297,0.033800049943629805,0.1179,0.94,0.017,0.01,0.13
114.86069964606983,2.0601714573526175,0.010192323495553149,0.016987205825921912,0.03373067555097446,0.11431705561654106,0.9262973610133662,0.016686260472910587,0.01001932199833523,0.12543036141923733
144.67954330615862,2.160407129202602,0.010218992897173363,0.01703165482862227,0.0336614509975738,0.11094784579319528,0.9132036629304909,0.016387696054991827,0.010037489400425205,0.12110231476975894
182.2396199551172,2.2606428010525867,0.010245789109561594,0.01707631518260266,0.0335923836181031,0.10777466140844154,0.9006762930171713,0.016103205579363487,0.01005456079007659,0.11699805796725342
229.5506214800986,2.3608784729025714,0.010272713750848086,0.017121189584746812,0.033523479899448407,0.10478107780234495,0.8886743556142563,0.01583173682755328,0.010070594575766393,0.11310066451643405
289.1439733844764,2.461114144752556,0.010299768455194345,0.01716628075865724,0.03345474585480459,0.10195219495013466,0.8771599917307069,0.015572319069623896,0.010085646245913852,0.1093945941570293
364.20828140433093,2.5613498166025406,0.010326954855501504,0.017211591425835837,0.0333861873170881,0.09927408119688043,0.8660963301263587,0.015324007583277165,0.01009977011663226,0.10586473614187625
458.7599412529132,2.661585488452525,0.010354274506832437,0.017257124178054063,0.0333178091541559,0.09673483616289438,0.8554523861463316,0.015086011545128746,0.01011301310594175,0.10249849960181973
577.858040149094,2.76182116030251,0.010381728928517055,0.01730288154752842,0.03324961564053908,0.09432392846094205,0.8452007341263891,0.014857633124410616,0.010125417713900834,0.09928481630654719
727.8750486648588,2.8620568321524944,0.01040931962352357,0.017348866039205952,0.033181610643250724,0.0920318405534178,0.8353163056627229,0.014638235916572975,0.010137023488248074,0.0962136186232305
916.8377865473248,2.962292504002479,0.010437048080018945,0.017395080133364906,0.03311379765067601,0.08984995913103958,0.8257761703826754,0.014427239068579767,0.01014786722010934,0.09327573744435953
1154.8569062545762,3.0625281758524636,0.010464915771279773,0.017441526285466285,0.033046179766191446,0.08777053152140601,0.8165595849542127,0.014224118424970981,0.01015798290148752,0.0904629219725059
1454.6678741791247,3.1627638477024482,0.010492924166200086,0.017488206943666807,0.03297875988807408,0.0857863745038533,0.8076468913953456,0.01402837788121285,0.010167403053765959,0.08776736983549008
1832.3123953352804,3.262999519552433,0.010521074722540786,0.017535124537567975,0.03291154059798658,0.08389098223867489,0.7990201643025968,0.013839566121547974,0.010176157867750918,0.08518199587992872
2307.9967418637675,3.3632351914024174,0.010549368887847875,0.01758228147974646,0.032844524151469254,0.0820784946405903,0.7906632330227755,0.013657277013418229,0.010184275126076175,0.08270043499781367
2907.1729111339923,3.463470863252402,0.010577808107478574,0.017629680179130955,0.03277771262807141,0.08034348253833513,0.7825608500699422,0.013481128201883361,0.010191781335626038,0.08031670047485079
3661.9004619592147,3.5637065351023867,0.010606393817791637,0.01767732302965273,0.03271110778212974,0.07868109774996004,0.7746994985474003,0.013310781758222302,0.010198700582583133,0.07802551053488722
4612.561895421109,3.6639422069523713,0.010635127456248717,0.017725212427081197,0.03264471121445769,0.0770868418233305,0.7670664406263173,0.013145919670954779,0.010205055837446835,0.07582189775767106
5810.023363580912,3.764177878802356,0.010664010457417966,0.017773350762363273,0.032578524305684864,0.07555662562853097,0.7596500898608137,0.012986253422321686,0.010210868434865683,0.07370136113081736
7318.356317097014,3.8644135506523405,0.0106930442603759,0.017821740433959832,0.03251254831783323,0.07408662501799185,0.7524394048717772,0.012831508230790198,0.01021615883861893,0.07165961094156899
9218.265716402211,3.964649222502325,0.010722230304089976,0.017870383840149957,0.03244678432996023,0.07267334873360251,0.7454242940458539,0.012681433599875275,0.010220946147748712,0.06969274079659554
11611.408236529282,4.06488489435231,0.010751570032436254,0.017919283387393754,0.03238123330312711,0.07131354406016537,0.7385952242124462,0.012535793135714044,0.010225248583883566,0.06779706246363773
14625.831515731199,4.165120566202294,0.010781064892942355,0.017968441488237258,0.03231589606141953,0.07000420653622709,0.7319433269398846,0.012394367323611275,0.010229083323277367,0.06596914937362389
18422.825480684023,4.265356238052278,0.010810716337133415,0.01801786056188902,0.032250773297543334,0.06874256575807593,0.7254603878251058,0.012256953247525165,0.010232466554096702,0.0642058342520025
23205.552335721175,4.365591909902262,0.010840525823565216,0.018067543039275356,0.03218586560300284,0.06752604063441114,0.7191386736892027,0.012123360126358328,0.010235413693907156,0.06250413761100572
29229.91697286059,4.465827581752246,0.010870494818970412,0.018117491364950687,0.03212117348197792,0.06635221571277668,0.7129708558590274,0.011993407344098024,0.010237939487246413,0.060861236252203986
36818.25943548571,4.5660632536022305,0.010900624795554181,0.018167707992590303,0.03205669732206757,0.06521886660736664,0.7069501793995557,0.01186692880918809,0.010240057783699642,0.059274532631135905
46376.60206552643,4.666298925452215,0.01093091723037349,0.01821819538395581,0.03199243738829972,0.06412395871403348,0.7010704997813711,0.011743773900377102,0.010241781487553975,0.05774166978084116
58416.374161111045,4.766534597302199,0.010961373619157862,0.01826895603192977,0.03192839396583364,0.0630654877626967,0.6953254926912009,0.011623787136978451,0.010243123632170462,0.05626021000271447
73581.77654562469,4.866770269152183,0.010991995458163945,0.01831999243027324,0.031864567171945274,0.06204167725741448,0.6897097011419132,0.01150683512193271,0.01024409595740066,0.05482806076382025
92684.25021857377,4.967005941002167,0.01102278424930775,0.018371307082179586,0.031800957009471935,0.061050913949801555,0.684218242901961,0.011392799016621546,0.010244709308029011,0.053443355800715554
