MSigma,MNR,cR,cR3,spread
1000000000.0,1000000000000.0,0.3,0.29999999999999993,0.047687032324002065
1000000000.0,1000000000000.0,0.3,0.5334838230116767,0.047687032324002065
1000000000.0,1000000000000.0,0.3,0.9486832980505137,0.047687032324002065
1000000000.0,1000000000000.0,0.3,1.687023975571047,0.047687032324002065
1000000000.0,1000000000000.0,0.3,3.0,0.047687032324002065
1000000000.0,1000000000000.0,1.0,0.29999999999999993,0.04770220526148827
1000000000.0,1000000000000.0,1.0,0.5334838230116767,0.04770220526148827
1000000000.0,1000000000000.0,1.0,0.9486832980505137,0.04770220526148827
1000000000.0,1000000000000.0,1.0,1.687023975571047,0.04770220526148827
1000000000.0,1000000000000.0,1.0,3.0,0.04770220526148827
1000000000.0,1000000000000.0,3.0,0.29999999999999993,0.047745410073046224
1000000000.0,1000000000000.0,3.0,0.5334838230116767,0.047745410073046224
1000000000.0,1000000000000.0,3.0,0.9486832980505137,0.047745410073046224
1000000000.0,1000000000000.0,3.0,1.687023975571047,0.047745410073046224
1000000000.0,1000000000000.0,3.0,3.0,0.047745410073046224
