t,mu_GeV,alpha1,alpha2,alpha3,alpha1_inv,alpha2_inv,alpha3_inv
0.0,91.2,0.016903448618432473,0.03382870146406854,0.12083735725703224,59.15952552484134,29.56069718082909,8.27558648003951
0.07113741082416591,97.92406270090986,0.016917035961708324,0.03378942416708362,0.11954351855971893,59.11201006272599,29.595058946703276,8.365154481381957
0.14227482164833183,105.14388219135664,0.016930642244068282,0.033750221987277146,0.1182775106865691,59.0645047945747,29.629434744961706,8.454692647784599
0.21341223247249774,112.89601000354702,0.01694426756659232,0.03371109505599945,0.11703843664297023,59.01700950306175,29.663824279182926,8.544201620280818
0.28454964329666366,121.21969256874874,0.016957912028866692,0.03367204349146294,0.11582543783282148,58.96952397781902,29.698227262433168,8.633682019345061
0.35568705412082957,130.15706990885053,0.016971575729055707,0.03363306739934406,0.11463769201506752,58.9220480151397,29.7326434168625,8.723134445768187
0.4268244649449955,139.75338897720383,0.016985258763969713,0.03359416687335363,0.11347441138988187,58.8745814176978,29.76707247332228,8.812559481486472
0.4979618757691614,150.05723272881966,0.016998961229129556,0.03355534199577743,0.11233484080497225,58.827123994282196,29.80151417100261,8.901957690367219
0.5690992865933273,161.12076607962675,0.017012683218827648,0.033516592837988815,0.11121825607327385,58.779675559544714,29.835968257088677,8.99132961895366
0.6402366974174932,173.0,0.01702642482618602,0.03347791946093522,0.11012396317406013,58.732235933760826,29.870434486434615,9.080675732850409
0.6402366974174932,173.0,0.01702642482618602,0.03347791946093522,0.11010329005809011,58.732235933760826,29.870434486434615,9.082380730606719
0.7377069021110687,190.7114969983098,0.01704528528921871,0.033425054260479925,0.10876163571291125,58.667249214802446,29.91767768593719,9.194418541475544
0.8351771068046441,210.23627218113478,0.017064183366653156,0.033372333493616194,0.10745277296039703,58.60227697471893,29.96494087509015,9.3064140873178
0.9326473114982196,231.75996642201346,0.0170831192719512,0.03331975711388482,0.10617550275060336,58.53731886318336,30.01222357600217,9.418368400373007
1.030117516191795,255.4872262463595,0.01710209321620559,0.033267325052031546,0.10492868418020923,58.47237454257474,30.059525328109682,9.530282475310136
1.1275877208853704,281.6436496034051,0.017121105408287554,0.03321503721728205,0.10371123099159885,58.40744368736525,30.106845687341036,9.64215727109637
1.225057925578946,310.47793084354225,0.01714015605498551,0.0331628934985391,0.10252210832334781,58.34252598354452,30.154184225331615,9.753993712712848
1.3225281302725214,342.2642252954314,0.017159245361135625,0.03311089376550782,0.10136032969163453,58.27762112807847,30.20154052868597,9.865792692686279
1.4199983349660967,377.30475592519355,0.017178373529744884,0.03305903786975454,0.10022495418291982,58.2127288283998,30.2489141982832,9.977555072511256
1.517468539659672,415.93268686170836,0.017197540762107492,0.03300732564570567,0.09911508383931796,58.147848801926834,30.296304848620853,10.089281684119507
1.6149387443532475,458.5152911093966,0.017216747257915242,0.03295575691159178,0.09802986121975893,58.08298077560842,30.343712107193703,10.200973331567257
1.7124089490468228,505.4574425669874,0.017235993215360564,0.03290433147033006,0.09696846713297529,58.01812448549869,30.391135613914635,10.312630791911715
1.8098791537403986,557.2054655542623,0.017255278831234684,0.03285304911036123,0.09593011851815612,57.95327967635316,30.43857502056389,10.42425481639258
1.907349358433974,614.2513784479393,0.01727460430102079,0.03280190960644106,0.09491406646392907,57.88844610124632,30.486029990267323,10.535846131722085
2.0048195631275494,677.1375717750394,0.017293969818982,0.03275091272038636,0.09391959435846763,57.82362352121096,30.533500197004678,10.6474054411186
2.1022897678211248,746.4619652428796,0.017313375578244757,0.03270005820177994,0.09294601615880382,57.758811704896935,30.5809853251444,10.75893342530615
2.1997599725147,822.8836927385541,0.017332821770877915,0.032649345788637166,0.09199267477089244,57.69401042824832,30.628485069003325,10.87043074343145
2.2972301772082755,907.1293693506752,0.017352308587967883,0.032598775208036876,0.0910589405318258,57.62921947419731,30.675999132429393,10.981898033949696
2.3947003819018513,999.9999999999999,0.017371836219690195,0.03254834617671948,0.09014420978602221,57.56443863237353,30.723527228405224,11.09333591557048
2.3947003819018513,999.9999999999999,0.017371836219690195,0.03254834617671948,0.09014420978602221,57.56443863237353,30.723527228405224,11.09333591557048
2.487510839212187,1097.253739131672,0.017390468413693926,0.03252130885364971,0.08929034256543798,57.50276394007659,30.74906992520305,11.199419458684824
2.5803212965225226,1203.965768038435,0.01740913796769899,0.032494311304479946,0.08845270091415335,57.44109799436397,30.77461745933761,11.30547727389961
2.6731317538328585,1321.0559407667083,0.017427845043952027,0.032467345997374004,0.08763082301676797,57.37944062952461,30.800176894067075,11.411509849777996
2.7659422111431944,1449.5335706083793,0.01744658980415434,0.03244041311435994,0.08682426451863792,57.3177916845321,30.825748009890297,11.517517661037456
2.8587526684535303,1590.5061303469279,0.01746537240950589,0.03241351282956256,0.08603259770480005,57.25615100286836,30.851330593454087,11.623501169071483
2.951563125763866,1745.1887986350132,0.017484193020747385,0.032386645309504934,0.08525541072499193,57.19451843235563,30.876924437324075,11.729460822442066
3.0443735830742016,1914.9149347929783,0.017503051798200477,0.03235981071339573,0.08449230686181466,57.132893824996394,30.902529339766446,11.835397057337756
3.1371840403845375,2101.147572320677,0.017521948901803957,0.03233300919339222,0.08374290384516624,57.07127703682813,30.928145104550502,11.941310297155662
3.2299944976948733,2305.492030196299,0.017540884491157774,0.03230624089489712,0.083006833180614,57.00966792775429,30.95377154071656,12.047200955421427
3.322804955005209,2529.7097506711575,0.017559858725553847,0.03227950595678642,0.08228373954116865,56.94806636141997,30.97940846240742,12.15306943481433
