mu_GeV,alpha1_inv,alpha2_inv,alpha3_inv,alpha1,alpha2,alpha3
4366665116.110204,47.4643720007709,35.01502541158039,28.392362675425385,0.02106843423491958,0.02855916819267176,0.03522073916256135
4787961992.584712,47.403721376029196,35.04115842687027,28.496001578553003,0.02109539021351335,0.028537869319787666,0.0350926426377177
5249905690.697166,47.343072003083876,35.067293369929764,28.599636688112263,0.021122414699554375,0.028516600624144572,0.03496547913895915
5756417825.3503475,47.28242387199797,35.09343022746006,28.703268031994202,0.02114950795896547,0.028495362052624755,0.03483923847574939
6000000000.0,47.25513472914442,35.105191438799196,28.749897360860366,0.021161721487659917,0.028485815317183354,0.03478273287199221
6311798369.774281,47.22177697293723,35.11956898630404,28.80689563778308,0.021176670259001464,0.02847415355211167,0.03471391060577876
6920762159.626721,47.161131296168584,35.14570963344425,28.910519532760862,0.021203901868258216,0.02845297506949217,0.0345894856322737
7588478919.017464,47.10048683205879,35.17185215600081,29.01413974391156,0.021231203056681643,0.028431826551658754,0.034465953801364864
8320617148.253274,47.03984357107282,35.19799654122951,29.117756297925578,0.021258574095576938,0.028410707945511628,0.03434330549951208
9123392245.882498,46.979201503772465,35.224142776519805,29.221369221203876,0.021286015257617762,0.02838961919796083,0.03422153125098501
10003619273.565798,46.91856062081502,35.25029084939295,29.32497853986212,0.02131352681685547,0.02836856025592825,0.03410062171539791
10968770811.71441,46.857920912951776,35.27644074750008,29.428584279734743,0.021341109048728508,0.028347531066349616,0.03398056768529721
12027040397.053368,46.797282371026725,35.30259245862039,29.53218646637893,0.021368762230071784,0.028326531576176477,0.033861360083800605
13187412080.656372,46.73664498597526,35.32874597065931,29.635785125078574,0.021396486639126112,0.028305561732378064,0.0337429899622863
14459736696.955791,46.67600874882277,35.354901271646746,29.739380280848092,0.021424282555547798,0.028284621481943186,0.03362544849813133
15854815491.204584,46.61537365068344,35.3810583497353,29.842971958436213,0.02145215026041819,0.028263710771882024,0.03350872699249759
17384491815.335953,46.55473968275892,35.40721719319858,29.94655983968137,0.021480090036253386,0.028242829549227924,0.033392817250244795
18000000000.0,46.53183505672232,35.417099075332395,29.985690118843493,0.021490663301393546,0.0282349493919023,0.03334924078907838
19061751670.660564,46.49410673450099,35.43337765225503,30.031950093655354,0.021508102214123175,0.028221977871092357,0.03329787099677098
20900833950.94673,46.43347462986885,35.45953948595472,30.106292152509788,0.021536187157459436,0.028201155866564288,0.0332156479095562
22917351321.779613,46.37284330191736,35.48570260370468,30.180631606378384,0.02156434518128099,0.028180363544375777,0.03313383275215021
25128422762.388676,46.31221274604564,35.51186699950841,30.254968468273365,0.02159257657334425,0.02815960084593251,0.0330524224822327
